timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,mag_x,mag_y,mag_z,sensor_type,activity_type,activity_code,subject_id,notes,recording_id
1631881920082,-1.0273438,0.026367188,-0.072265625,-3.15625,-2.96875,2.9375,0.0,0.0,0.0,Thingy,Walking at normal speed,1,s1234567,,Thingy_s1234567_Walking at normal speed_17-09-2021_13-32-12
1631881920112,-1.0390625,0.028320312,-0.07324219,2.59375,-2.28125,0.3125,0.0,0.0,0.0,Thingy,Walking at normal speed,1,s1234567,,Thingy_s1234567_Walking at normal speed_17-09-2021_13-32-12
1631881920172,-1.0244141,0.06347656,-0.052734375,5.59375,-0.625,-2.375,0.0,0.0,0.0,Thingy,Walking at normal speed,1,s1234567,,Thingy_s1234567_Walking at normal speed_17-09-2021_13-32-12
1631881920202,-1.0039062,0.083984375,-0.059570312,4.125,-0.09375,-2.4375,0.0,0.0,0.0,Thingy,Walking at normal speed,1,s1234567,,Thingy_s1234567_Walking at normal speed_17-09-2021_13-32-12
1631881920232,-1.0058594,0.08886719,-0.057617188,-2.40625,-1.125,-0.59375,0.0,0.0,0.0,Thingy,Walking at normal speed,1,s1234567,,Thingy_s1234567_Walking at normal speed_17-09-2021_13-32-12
1631881920293,-1.0302734,0.083984375,-0.06347656,-6.5,-2.59375,1.03125,0.0,0.0,0.0,Thingy,Walking at normal speed,1,s1234567,,Thingy_s1234567_Walking at normal speed_17-09-2021_13-32-12
1631881920322,-1.0292969,0.09082031,-0.06542969,-6.25,-3.4375,0.375,0.0,0.0,0.0,Thingy,Walking at normal speed,1,s1234567,,Thingy_s1234567_Walking at normal speed_17-09-2021_13-32-12
1631881920382,-1.0126953,0.115234375,-0.0546875,-6.75,-2.53125,-3.15625,-78.4375,-57.875,-149.75,Thingy,Walking at normal speed,1,s1234567,,Thingy_s1234567_Walking at normal speed_17-09-2021_13-32-12
1631881920413,-0.9941405999999999,0.1015625,-0.05859375,-8.28125,-2.03125,-5.0625,0.0,0.0,0.0,Thingy,Walking at normal speed,1,s1234567,,Thingy_s1234567_Walking at normal speed_17-09-2021_13-32-12
1631881920442,-1.0009766,0.09667969,-0.049804688,-9.125,-1.84375,-6.46875,0.0,0.0,0.0,Thingy,Walking at normal speed,1,s1234567,,Thingy_s1234567_Walking at normal speed_17-09-2021_13-32-12
